Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,128
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.05
EPSILON_DECAY_RATE,2.5e-07
MAX_TIMESTEPS,500
LEARNING_STARTS,0
TRAIN_FREQ,4
N_EPISODES,50
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training/1k-3ac-12f-1dis-F/
model_name,1k-3ac-12f-1dis-F
model_version,2
MODEL_SAVE_PATH,../trained_models/1k-3ac-12f-1dis-F-50k-2.zip
runtime_in_seconds,305.817827
runtime_in_hh:mm:ss,0:05:05.817827
total_timesteps,126375
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,12
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,1000000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,1000
MIN_TURN_TIME,0
device,cuda
