Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,32
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.007
EPSILON_DECAY_RATE,2e-06
MAX_TIMESTEPS,500
LEARNING_STARTS,1000
TRAIN_FREQ,4
N_EPISODES,100000
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training-10-days-6-ac-2-disrupted/
model_name,dqn_1000000d_10u
model_version,1
MODEL_SAVE_PATH,../trained_models/dqn_1000000d_10u-1.zip
-- runtime_in_seconds,7543.006072
MAX_AIRCRAFT,6
MAX_FLIGHTS_PER_AIRCRAFT,10
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,1
MAX_DELAY_PENALTY,10000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,10000
MIN_TURN_TIME,0
MODEL_LAYERS,3
UNITS_PER_LAYER,128
