Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,128
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.05
EPSILON_DECAY_RATE,2.5e-06
MAX_TIMESTEPS,500
LEARNING_STARTS,0
TRAIN_FREQ,4
N_EPISODES,10000
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training-100-days-6-ac-1-disrupted/
model_name,dqn_1000000d_100u
model_version,2
MODEL_SAVE_PATH,../trained_models/dqn_1000000d_100u-2.zip
runtime_in_seconds,2719.901116
runtime_in_hh:mm:ss,0:45:19.901116
total_timesteps,1389014
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,8
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,10000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,10000
MIN_TURN_TIME,0
MODEL_LAYERS,3
UNITS_PER_LAYER,128
device,mps
macbook_info,"Hardware:

    Hardware Overview:

      Model Name: MacBook Pro
      Model Identifier: Mac15,11
      Model Number: MRW33N/A
      Chip: Apple M3 Max
      Total Number of Cores: 14 (10 performance and 4 efficiency)
      Memory: 36 GB
      System Firmware Version: 11881.1.1
      OS Loader Version: 11881.1.1
      Serial Number (system): LF6QTJX3PG
      Hardware UUID: 70F787CE-81AF-56D4-95B4-F0FB4046FBB5
      Provisioning UDID: 00006034-001849AE26D9001C
      Activation Lock Status: Enabled

"
gpu_info,"Graphics/Displays:

    Apple M3 Max:

      Chipset Model: Apple M3 Max
      Type: GPU
      Bus: Built-In
      Total Number of Cores: 30
      Vendor: Apple (0x106b)
      Metal Support: Metal 3
      Displays:
        Color LCD:
          Display Type: Built-in Liquid Retina XDR Display
          Resolution: 3456 x 2234 Retina
          Main Display: Yes
          Mirror: Off
          Online: Yes
          Automatically Adjust Brightness: Yes
          Connection Type: Internal
        U2790B:
          Resolution: 3840 x 2160 (2160p/4K UHD 1 - Ultra High Definition)
          UI Looks like: 1920 x 1080 @ 30.00Hz
          Mirror: Off
          Online: Yes
          Rotation: Supported

"
