Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,128
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.05
EPSILON_DECAY_RATE,1.5e-05
MAX_TIMESTEPS,500
LEARNING_STARTS,0
TRAIN_FREQ,4
N_EPISODES,100
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training-1k-small-full/
model_name,dqn_100000d_1000u
model_version,1
MODEL_SAVE_PATH,../trained_models/dqn_100000d_1000u-1.zip
runtime_in_seconds,374.250475
runtime_in_hh:mm:ss,0:06:14.250475
total_timesteps,386872
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,12
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,1000000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,1000
MIN_TURN_TIME,0
device,mps
