Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,400000
BATCH_SIZE,512
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.001
EPSILON_DECAY_RATE,0.00013440520048608106
MAX_TIMESTEPS,50000
LEARNING_STARTS,1000
TRAIN_FREQ,4
N_EPISODES,10000
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training/3ac-single-cleared/
TESTING_FOLDERS_PATH,../data/Example/3ac-single/
MODEL_SAVE_PATH,../trained_models/
MODEL_SAVE_NAME,3ac-single-cleared-10k-1.zip
runtime_in_seconds,426.594358
runtime_in_hh:mm:ss,0:07:06.594358
total_timesteps_myopic,43592
total_timesteps_proactive,80620
device,mps
device_info,{'device_type': 'MacBook M1'}
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,12
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,1000
NO_ACTION_PENALTY,5
CANCELLED_FLIGHT_PENALTY,1000
MIN_TURN_TIME,0
CROSS_VAL_INTERVAL,1000
PERCENTAGE_MIN,95
wallclock_seconds_per_timestep_myopic,0.009786069875206459
wallclock_seconds_per_timestep_proactive,0.005291420962540313
