Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,50000
BATCH_SIZE,256
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.025
EPSILON_DECAY_RATE,5.981255397921225e-07
MAX_TIMESTEPS,50000
LEARNING_STARTS,0
TRAIN_FREQ,4
N_EPISODES,1000
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training/1k-3ac-12f-1dis-F/
TESTING_FOLDERS_PATH,../data/Testing/1k-3ac-12f-1dis-F/
MODEL_SAVE_PATH,../trained_models/
MODEL_SAVE_NAME,1k-3ac-12f-1dis-F-1M-1.zip
runtime_in_seconds,42076.907102
runtime_in_hh:mm:ss,11:41:16.907102
total_timesteps_myopic,8226158
total_timesteps_proactive,7478873
device,mps
device_info,{'device_type': 'MacBook M1'}
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,12
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,1000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,1000000
NO_ACTION_PENALTY,0
CANCELLED_FLIGHT_PENALTY,1000
MIN_TURN_TIME,0
CROSS_VAL_INTERVAL,100
PERCENTAGE_MIN,95
