Parameter,Value
LEARNING_RATE,0.001
GAMMA,0.99
BUFFER_SIZE,100000
BATCH_SIZE,256
TARGET_UPDATE_INTERVAL,100
EPSILON_START,1.0
EPSILON_MIN,0.025
EPSILON_DECAY_RATE,0.0008244227185414988
MAX_TIMESTEPS,50000
LEARNING_STARTS,1000
TRAIN_FREQ,4
N_EPISODES,10
NEURAL_NET_STRUCTURE,"{'net_arch': [256, 512, 256]}"
TRAINING_FOLDERS_PATH,../data/Training/100-3ac-cleared/
TESTING_FOLDERS_PATH,../data/Training/3ac-single-cleared/
MODEL_SAVE_PATH,../trained_models/dqn/
myopic_model_name,myopic_3ac
proactive_model_name,proactive_3ac
runtime_in_seconds,32.259858
runtime_in_hh:mm:ss,0:00:32.259858
total_timesteps_myopic,5705
total_timesteps_proactive,5835
device,mps
device_info,{'device_type': 'MacBook M1'}
MAX_AIRCRAFT,3
MAX_FLIGHTS_PER_AIRCRAFT,12
TIMESTEP_HOURS,1
DUMMY_VALUE,-999
RESOLVED_CONFLICT_REWARD,2000
DELAY_MINUTE_PENALTY,6
MAX_DELAY_PENALTY,750
NO_ACTION_PENALTY,0
CANCELLED_FLIGHT_PENALTY,10000
MIN_TURN_TIME,0
CROSS_VAL_INTERVAL,10
PERCENTAGE_MIN,95
wallclock_seconds_per_timestep_myopic,0.00565466397896582
wallclock_seconds_per_timestep_proactive,0.00552868174807198
